"seq_name","seq_count"
"TTY_ID","14"
"TET_ID","8"
"CON_ID","52"
"GTT_ID","4"
"PGI_ID","5437"
"GTS_ID","77"
"TUI_ID","36"
"COM_ID","82"
"THE_ID","1138"
"LAN_ID","5"
"PTT_ID","9376"
"POS_ID","6963"
"CNF_ID","6"
"PSG_ID","5438"
"COD_ID","107"
"GGI_ID","8"
"BAC_ID","4"
"ABC_ID","36"
"USE_ID","2"
"TER_ID","2"
"TAS_ID","33"
"APP_ID","2"
"SER_ID","9"
"GEO_ID","14"
"PAP_ID","71"
"ROL_ID","2"
"UCO_ID","27"
"SGI_ID","2365"
"TRE_ID","2"
"AGI_ID","99071"
"TNO_ID","12773"
"PSE_ID","560"
"ATS_ID","97390"
"TRA_ID","600235"
