tno_id,tno_active,tno_dataurl,tno_abstract,tno_filter_gfi,tno_filter_gm,tno_filter_se,tno_metaurl,tno_name,tno_order,tno_queryact,tno_radio,tno_load_data,tno_tooltip,tno_giid,tno_parentid,tno_treeid,tno_style,tno_type,tno_image_name,tno_image,tno_view_mode,tno_taskid,tno_filterable,tno_mapping
12762,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Inicial,2,NULL,NULL,false,NULL,NULL,NULL,41,NULL,menu,logo_menorca.png,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row3.txt,NULL,NULL,NULL,NULL
12754,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Que visitar,0,NULL,NULL,false,NULL,NULL,12762,41,NULL,list,que_visitar.png,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row4.txt,NULL,NULL,NULL,null
12759,NULL,NULL,La prehistoria de Menorca es candidata a Patrimonio Mundial por la UNESCO,NULL,NULL,NULL,NULL,Menorca talayótica,0,NULL,NULL,false,NULL,NULL,12754,41,NULL,task,menorca_talayotica.jpg,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row7.txt,NULL,NULL,NULL,null
12758,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Agenda cultural,5,NULL,NULL,false,NULL,NULL,12762,41,NULL,task,NULL,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row9.txt,NULL,NULL,NULL,null
12761,true,NULL,NULL,NULL,NULL,NULL,NULL,Consulta talayots,0,NULL,NULL,false,NULL,NULL,12759,41,NULL,task,NULL,NULL,dl,32281,false,'{"output":{"id":{"value":"$.idbic","calculated":null},"name":{"value":"$.nom_cast","calculated":null},"price":{"value":"$.preu_cast","calculated":null},"schedule":{"value":"$.horari_cast","calculated":null},"description":{"value":"$.descrip_cast","calculated":null},"image":{"value":"$.img","calculated":null},"geom":{"value":"POINT,${$.x} ${$.y},","calculated":true},"proj":{"value":"EPSG:4326","calculated":true}},"input":{}}'
12763,NULL,NULL,'Sus paisajes y formaciones rocosas dan apariencia,por momentos,de paisaje lunar',NULL,NULL,NULL,NULL,Playas,1,NULL,NULL,false,NULL,NULL,12754,41,NULL,task,playas.jpeg,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row2.txt,NULL,NULL,NULL,null
12764,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Transporte público,6,NULL,NULL,false,NULL,NULL,12762,41,NULL,task,NULL,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row13.txt,NULL,NULL,NULL,null
12765,true,NULL,NULL,NULL,NULL,NULL,NULL,Paradas de autobús,0,NULL,NULL,false,NULL,NULL,12764,41,NULL,task,NULL,NULL,ne,32282,NULL,'{"output":{"id":{"value":"$.cod","calculated":null},"name":{"value":"$.nam","calculated":null},"distance":{"value":"$.distance","calculated":null},"image":{"value":null,"calculated":null},"geom":{"value":"POINT,${$.lon} ${$.lat},","calculated":true},"proj":{"value":"EPSG:4326","calculated":true}},"input":{"longitud":{"value":"${LONGITUD}","calculated":true},"latitud":{"value":"${LATITUD}","calculated":true}}}'
12766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Itinerarios,2,NULL,NULL,false,NULL,NULL,12762,41,NULL,list,itinerario.png,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row5.txt,NULL,NULL,NULL,null
12767,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Comer y dormir,4,NULL,NULL,false,NULL,NULL,12762,41,NULL,list,comer_dormir.png,file:13_tourism_data/clob_files/stm_tree_nod_tno_image_row11.txt,NULL,NULL,NULL,null
