TRA_ID,TRA_ELEID,TRA_COLUMN,TRA_LANID,TRA_NAME
3020142,1,CodeListValue.description,2,Externa
3020143,1,CodeListValue.description,3,Externa
3020144,1,CodeListValue.description,4,Externa
3020145,1,CodeListValue.description,5,Externe
3020146,2,CodeListValue.description,2,Interna
3020147,2,CodeListValue.description,3,Interna
3020148,2,CodeListValue.description,4,Interna
3020149,2,CodeListValue.description,5,Interne
3020150,3,CodeListValue.description,2,Parámetro de app móvil
3020151,3,CodeListValue.description,3,Paràmetre d'app mòbil
3020152,3,CodeListValue.description,4,Paràmetre d'app mobila
3020153,3,CodeListValue.description,5,Paramètre d'application mobile
3020154,4,CodeListValue.description,2,Parámetro de nomenclátor
3020155,4,CodeListValue.description,3,Paràmetre de nomenclàtor
3020156,4,CodeListValue.description,4,Paràmetre de nomenclador
3020157,4,CodeListValue.description,5,Paramètre de nomenclateur
3020158,5,CodeListValue.description,2,Plantilla de impresión
3020159,5,CodeListValue.description,3,Plantilla d'impressió
3020160,5,CodeListValue.description,4,Plantilla d'impression
3020161,5,CodeListValue.description,5,Modèle d'impression
3020162,6,CodeListValue.description,2,Línea
3020163,6,CodeListValue.description,3,Línia
3020164,6,CodeListValue.description,4,Linha
3020165,6,CodeListValue.description,5,Ligne
3020166,7,CodeListValue.description,2,Punto
3020167,7,CodeListValue.description,3,Punt
3020168,7,CodeListValue.description,4,Punt
3020169,7,CodeListValue.description,5,Point
3020170,8,CodeListValue.description,2,Polígono
3020171,8,CodeListValue.description,3,Polígon
3020172,8,CodeListValue.description,4,Poligon
3020173,8,CodeListValue.description,5,Polygone
3020174,9,CodeListValue.description,2,GetCapabilities
3020175,9,CodeListValue.description,3,GetCapabilities
3020176,9,CodeListValue.description,4,GetCapabilities
3020177,9,CodeListValue.description,5,GetCapabilities
3020178,10,CodeListValue.description,2,Get Legend Graphic
3020179,10,CodeListValue.description,3,Get Legend Graphic
3020180,10,CodeListValue.description,4,Get Legend Graphic
3020181,10,CodeListValue.description,5,Get Legend Graphic
3020182,11,CodeListValue.description,2,Enlace estático
3020183,11,CodeListValue.description,3,Enllaç estàtic
3020184,11,CodeListValue.description,4,Enllaç estatic
3020185,11,CodeListValue.description,5,Lien statique
3020186,12,CodeListValue.description,4,Personalizat
3020187,12,CodeListValue.description,5,Personnalisé
3020188,13,CodeListValue.description,4,Predefinit
3020189,13,CodeListValue.description,5,Défini
3020190,14,CodeListValue.description,4,Alfanumeric
3020191,14,CodeListValue.description,5,Alphanumérique
3020192,15,CodeListValue.description,4,Data
3020193,15,CodeListValue.description,5,Date
3020194,16,CodeListValue.description,4,Nombre
3020195,16,CodeListValue.description,5,Nombre
3020196,17,CodeListValue.description,4,Data
3020197,17,CodeListValue.description,5,Date
3020198,18,CodeListValue.description,4,Imatge
3020199,18,CodeListValue.description,5,Image
3020200,19,CodeListValue.description,4,Nombre
3020201,19,CodeListValue.description,5,Nombre
3020202,20,CodeListValue.description,4,Percentatge
3020203,20,CodeListValue.description,5,Pourcentage
3020204,21,CodeListValue.description,4,Text
3020205,21,CodeListValue.description,5,Texte
3020206,22,CodeListValue.description,4,URL
3020207,22,CodeListValue.description,5,URL
3020208,23,CodeListValue.description,2,EDIT
3020209,23,CodeListValue.description,3,EDIT
3020210,23,CodeListValue.description,4,EDIT
3020211,23,CodeListValue.description,5,EDIT
3020212,27,CodeListValue.description,2,INFO
3020213,27,CodeListValue.description,3,INFO
3020214,27,CodeListValue.description,4,INFO
3020215,27,CodeListValue.description,5,INFO
3020216,29,CodeListValue.description,2,SELECT
3020217,29,CodeListValue.description,3,SELECT
3020218,29,CodeListValue.description,4,SELECT
3020219,29,CodeListValue.description,5,SELECT
3020220,30,CodeListValue.description,3,Grup de cartografia
3020221,30,CodeListValue.description,4,Grup de cartografia
3020222,30,CodeListValue.description,5,Groupe de cartographie
3020223,31,CodeListValue.description,3,Mapa de fons
3020224,31,CodeListValue.description,4,Mapa de fons
3020225,31,CodeListValue.description,5,Fond de carte
3020226,32,CodeListValue.description,3,Informe
3020227,32,CodeListValue.description,4,Informe
3020228,32,CodeListValue.description,5,Rapport
3020229,33,CodeListValue.description,3,Mapa de situació
3020230,33,CodeListValue.description,4,Mapa de situacion
3020231,33,CodeListValue.description,5,Carte de localisation
3020232,34,CodeListValue.description,2,Aplicación
3020233,34,CodeListValue.description,3,Aplicació
3020234,34,CodeListValue.description,4,Aplicacion
3020235,34,CodeListValue.description,5,Application
3020236,35,CodeListValue.description,2,Capa
3020237,35,CodeListValue.description,3,Capa
3020238,35,CodeListValue.description,4,Capa
3020239,35,CodeListValue.description,5,Couche
3020240,36,CodeListValue.description,2,Aislado
3020241,36,CodeListValue.description,3,Aïllat
3020242,36,CodeListValue.description,4,Aïllat
3020243,36,CodeListValue.description,5,Isolé
3020244,38,CodeListValue.description,2,Consulta SQL
3020245,38,CodeListValue.description,3,Consulta SQL
3020246,38,CodeListValue.description,4,Consulta SQL
3020247,38,CodeListValue.description,5,Requête SQL
3020248,40,CodeListValue.description,2,Consulta API web
3020249,40,CodeListValue.description,3,Consulta API web
3020250,40,CodeListValue.description,4,Consulta API web
3020251,40,CodeListValue.description,5,Requête API web
3020252,41,CodeListValue.description,2,Consulta de cartografía
3020253,41,CodeListValue.description,3,Consulta de cartografia
3020254,41,CodeListValue.description,4,Consulta de cartografia
3020255,41,CodeListValue.description,5,Requête cartographique
3020256,45,CodeListValue.description,2,WFS
3020257,45,CodeListValue.description,3,WFS
3020258,45,CodeListValue.description,4,WFS
3020259,45,CodeListValue.description,5,WFS
3020260,46,CodeListValue.description,2,WMS
3020261,46,CodeListValue.description,3,WMS
3020262,46,CodeListValue.description,4,WMS
3020263,46,CodeListValue.description,5,WMS
3020264,47,CodeListValue.description,2,WFS
3020265,47,CodeListValue.description,3,WFS
3020266,47,CodeListValue.description,4,WFS
3020267,47,CodeListValue.description,5,WFS
3020268,48,CodeListValue.description,2,WMS
3020269,48,CodeListValue.description,3,WMS
3020270,48,CodeListValue.description,4,WMS
3020271,48,CodeListValue.description,5,WMS
3020272,49,CodeListValue.description,2,WMTS
3020273,49,CodeListValue.description,3,WMTS
3020274,49,CodeListValue.description,4,WMTS
3020275,49,CodeListValue.description,5,WMTS
3020276,50,CodeListValue.description,2,Base de datos (disparador)
3020277,50,CodeListValue.description,3,Base de dades (disparador)
3020278,50,CodeListValue.description,4,Base de dades (desencadenador)
3020279,50,CodeListValue.description,5,Base de données (déclencheur)
3020280,51,CodeListValue.description,2,Correo electrónico
3020281,51,CodeListValue.description,3,Correu electrònic
3020282,51,CodeListValue.description,4,Correu electronic
3020283,51,CodeListValue.description,5,E-mail
3020284,52,CodeListValue.description,2,Fecha
3020285,52,CodeListValue.description,3,Data
3020286,52,CodeListValue.description,4,Data
3020287,52,CodeListValue.description,5,Date
3020288,53,CodeListValue.description,2,Imagen
3020289,53,CodeListValue.description,3,Imatge
3020290,53,CodeListValue.description,4,Imatge
3020291,53,CodeListValue.description,5,Image
3020292,54,CodeListValue.description,2,Lista (desde una consulta)
3020293,54,CodeListValue.description,3,Llista (des d'una consulta)
3020294,54,CodeListValue.description,4,Lista (d'una consulta)
3020295,54,CodeListValue.description,5,Liste (à partir d'une requête)
3020296,55,CodeListValue.description,2,Número
3020297,55,CodeListValue.description,3,Número
3020298,55,CodeListValue.description,4,Nombre
3020299,55,CodeListValue.description,5,Nombre
3020300,56,CodeListValue.description,2,Atributo de relación entre tablas
3020301,56,CodeListValue.description,3,Atribut de relació entre taules
3020302,56,CodeListValue.description,4,Atribut de relacion entre taules
3020303,56,CodeListValue.description,5,Attribut de relation entre tables
3020304,57,CodeListValue.description,2,Selección para asignar un valor
3020305,57,CodeListValue.description,3,Selecció per assignar un valor
3020306,57,CodeListValue.description,4,Seleccion per assignar un valor
3020307,57,CodeListValue.description,5,Sélection pour attribuer une valeur
3020308,58,CodeListValue.description,2,Texto
3020309,58,CodeListValue.description,3,Text
3020310,58,CodeListValue.description,4,Text
3020311,58,CodeListValue.description,5,Texte
3020312,59,CodeListValue.description,2,URL
3020313,59,CodeListValue.description,3,URL
3020314,59,CodeListValue.description,4,URL
3020315,59,CodeListValue.description,5,URL
3020316,60,CodeListValue.description,2,CAMPO
3020317,60,CodeListValue.description,3,CAMPO
3020318,60,CodeListValue.description,4,CAMPO
3020319,60,CodeListValue.description,5,CAMPO
3020320,61,CodeListValue.description,2,CAPA
3020321,61,CodeListValue.description,3,CAPA
3020322,61,CodeListValue.description,4,CAPA
3020323,61,CodeListValue.description,5,CAPA
3020324,62,CodeListValue.description,2,DATAINPUT
