COD_ID,COD_LIST,COD_VALUE,COD_SYSTEM,COD_DEFAULT,COD_DESCRIPTION
1,application.type,ED,true,false,Edition application
2,application.type,E,false,false,External application
3,application.type,I,false,false,Internal application
4,application.type,T,true,false,Tourist application
5,applicationParameter.type,MOBILE,false,false,Mobile app parameter
6,applicationParameter.type,Nomenclator,false,false,Nomenclator parameter
7,applicationParameter.type,PRINT_TEMPLATE,false,false,Print template
8,cartography.geometryType,LINE,false,false,Line
9,cartography.geometryType,POINT,false,false,Point
10,cartography.geometryType,POLYGON,false,false,Polygon
11,cartography.legendType,LEGENDGRAPHIC,false,false,Get Legend Graphic
12,cartography.legendType,CAPABILITIES,false,false,GetCapabilities
13,cartography.legendType,LINK,false,false,Static link
14,cartographyFilter.type,C,false,false,Custom
15,cartographyFilter.type,D,false,false,Defined
16,cartographyFilter.valueType,A,false,false,Alphanumeric
17,cartographyFilter.valueType,D,false,false,Date
18,cartographyFilter.valueType,N,false,false,Number
19,cartographyParameter.format,F,false,false,Date
20,cartographyParameter.format,I,false,false,Image
21,cartographyParameter.format,N,false,false,Number
22,cartographyParameter.format,P,false,false,Percentage
23,cartographyParameter.format,T,false,false,Text
24,cartographyParameter.format,U,false,false,URL
25,cartographyParameter.type,INFO,false,true,INFO
26,cartographyPermission.type,F,true,false,Background map
27,cartographyPermission.type,C,true,false,Cartography group
28,cartographyPermission.type,M,true,false,Location map
29,cartographyPermission.type,I,true,false,Report
30,cartographySpatialSelectionParameter.format,F,false,false,Date
31,cartographySpatialSelectionParameter.format,I,false,false,Image
32,cartographySpatialSelectionParameter.format,N,false,false,Number
33,cartographySpatialSelectionParameter.format,P,false,false,Percentage
34,cartographySpatialSelectionParameter.format,T,false,false,Text
35,cartographySpatialSelectionParameter.format,U,false,false,URL
36,cartographySpatialSelectionParameter.type,EDIT,false,true,EDIT
37,cartographySpatialSelectionParameter.type,SELECT,false,false,SELECT
38,downloadTask.scope,A,false,false,Application
39,downloadTask.scope,U,false,false,Isolated
40,downloadTask.scope,C,false,false,Layer
41,editTask.fieldType,date,true,false,Date
42,editTask.fieldType,image,true,false,Image
43,editTask.fieldType,listbox,true,false,ListBox
44,editTask.fieldType,number,true,false,Number
45,editTask.fieldType,text,true,false,Text
46,editTask.scope,db-edit,true,false,Database edition
47,editTask.scope,feat-edit,true,false,Features service edition (WFS)
48,queryTask.parameterType,query,true,false,Query parameter
49,queryTask.parameterType,template,true,false,Template parameter
50,queryTask.scope,cartography-query,true,false,Cartography Query
51,queryTask.scope,sql-query,true,false,SQL Query
52,queryTask.scope,web-api-query,true,false,Web API Query
53,service.authenticationMode,HTTP Basic authentication,true,false,HTTP Basic authentication
54,service.authenticationMode,None,true,true,None
55,service.type,WFS,false,false,WFS
56,service.type,WMS,false,false,WMS
57,service.type,WMTS,false,false,WMTS
58,serviceParameter.type,INFO,false,false,GetFeatureInfo
59,serviceParameter.type,WMS,false,false,GetMap
60,serviceParameter.type,OLPARAM,false,false,OpenLayers
61,serviceParameter.type,WMTS,false,false,WMTS
62,taskEntity.jsonParamType,__NULL_VALUE__,true,false,__NULL_VALUE__
63,taskEntity.jsonParamType,array,true,false,array
64,taskEntity.jsonParamType,boolean,true,false,boolean
65,taskEntity.jsonParamType,number,true,false,number
66,taskEntity.jsonParamType,object,true,false,object
67,taskEntity.jsonParamType,string,true,false,string
68,territory.scope,M,false,false,Municipality
69,territory.scope,R,false,false,Regional
70,territory.scope,T,false,false,Total
71,tree.type,cartography,false,true,Cartography
72,tree.type,edition,true,false,Edition tree
73,tree.type,touristic,true,false,Tourist application
82,treenode.viewmode,dl,true,false,Detailed list
83,treenode.viewmode,evt,true,false,Events
84,treenode.viewmode,evtcat,true,false,Events categories
85,treenode.viewmode,evtloc,true,false,Events locations
86,treenode.viewmode,gallery,true,false,Gallery
87,treenode.viewmode,ms,true,false,Map search
88,treenode.viewmode,ne,true,false,Near elements
89,treenode.viewmode,rt,true,false,Routes list
90,treenode.viewmode,sch,true,false,Schedule
91,user.identificationType,DNI,false,false,DNI
92,user.identificationType,NIE,false,false,NIE
93,user.identificationType,PAS,false,false,Passport
94,userPosition.type,POC,false,false,Point of contact
95,treenode.node.type,cartography,true,false,Cartography
96,treenode.node.type,folder,true,false,Folder
97,treenode.node.type,list,true,false,List
98,treenode.node.type,menu,true,false,Menu
99,treenode.node.type,task,true,false,Task
100,treenode.node.type,fav,true,false,Favorites
101,treenode.node.type,map,true,false,Map
102,treenode.node.type,nm,true,false,Near me
