"TRA_ID","TRA_ELEID","TRA_COLUMN","TRA_LANID","TRA_NAME"
146,1,"Language.name",1,"English"
147,2,"Language.name",1,"Spanish"
148,3,"Language.name",1,"Catalan"
149,4,"Language.name",1,"Aranese"
150,5,"Language.name",1,"French"
151,1,"CodeListValue.description",1,"External"
152,2,"CodeListValue.description",1,"Internal"
153,3,"CodeListValue.description",1,"Mobile app parameter"
154,4,"CodeListValue.description",1,"Nomenclator parameter"
155,5,"CodeListValue.description",1,"Print template"
156,6,"CodeListValue.description",1,"Line"
157,7,"CodeListValue.description",1,"Point"
158,8,"CodeListValue.description",1,"Polygon"
159,9,"CodeListValue.description",1,"GetCapabilities"
160,10,"CodeListValue.description",1,"Get Legend Graphic"
161,11,"CodeListValue.description",1,"Static link"
162,12,"CodeListValue.description",1,"Custom"
163,13,"CodeListValue.description",1,"Defined"
164,14,"CodeListValue.description",1,"Alphanumeric"
165,15,"CodeListValue.description",1,"Date"
166,16,"CodeListValue.description",1,"Number"
167,17,"CodeListValue.description",1,"Date"
168,18,"CodeListValue.description",1,"Image"
169,19,"CodeListValue.description",1,"Number"
170,20,"CodeListValue.description",1,"Percentage"
171,21,"CodeListValue.description",1,"Text"
172,22,"CodeListValue.description",1,"URL"
173,23,"CodeListValue.description",1,"EDIT"
177,27,"CodeListValue.description",1,"INFO"
179,29,"CodeListValue.description",1,"SELECT"
180,30,"CodeListValue.description",1,"Cartography group"
181,31,"CodeListValue.description",1,"Background map"
182,32,"CodeListValue.description",1,"Report"
183,33,"CodeListValue.description",1,"Location map"
184,34,"CodeListValue.description",1,"Application"
185,35,"CodeListValue.description",1,"Layer"
186,36,"CodeListValue.description",1,"Isolated"
188,38,"CodeListValue.description",1,"SQL Query"
190,40,"CodeListValue.description",1,"Web API Query"
191,41,"CodeListValue.description",1,"Cartography Query"
192,42,"CodeListValue.description",1,"AIMS"
193,43,"CodeListValue.description",1,"FME"
194,44,"CodeListValue.description",1,"TC"
195,45,"CodeListValue.description",1,"WFS"
196,46,"CodeListValue.description",1,"WMS"
197,47,"CodeListValue.description",1,"GetFeatureInfo"
198,48,"CodeListValue.description",1,"OpenLayers"
199,49,"CodeListValue.description",1,"GetMap"
200,50,"CodeListValue.description",1,"Database (trigger)"
201,51,"CodeListValue.description",1,"Email"
202,52,"CodeListValue.description",1,"Date"
