"TRA_ID","TRA_ELEID","TRA_COLUMN","TRA_LANID","TRA_NAME"
1,1,"Language.name",3,"Anglès"
2,2,"Language.name",3,"Espanyol"
3,3,"Language.name",3,"Català"
4,4,"Language.name",3,"Aranès"
5,5,"Language.name",3,"Francès"
6,1,"CodeListValue.description",3,"Edition application"
7,2,"CodeListValue.description",3,"Aplicació externa"
8,3,"CodeListValue.description",3,"Aplicació interna"
9,4,"CodeListValue.description",3,"Aplicació turística"
10,5,"CodeListValue.description",3,"Paràmetre d'aplicació mòbil"
11,6,"CodeListValue.description",3,"Paràmetre de nomenclàtor"
12,7,"CodeListValue.description",3,"Plantilla d'impressió"
13,8,"CodeListValue.description",3,"Línia"
14,9,"CodeListValue.description",3,"Punt"
15,10,"CodeListValue.description",3,"Polígon"
16,11,"CodeListValue.description",3,"Get Legend Graphic"
17,12,"CodeListValue.description",3,"GetCapabilities"
18,13,"CodeListValue.description",3,"Enllaç estàtic"
19,14,"CodeListValue.description",3,"Personalitzat"
20,15,"CodeListValue.description",3,"Definit"
21,16,"CodeListValue.description",3,"Alfanumèric"
22,17,"CodeListValue.description",3,"Data"
23,18,"CodeListValue.description",3,"Nombre"
24,19,"CodeListValue.description",3,"Data"
25,20,"CodeListValue.description",3,"Imatge"
26,21,"CodeListValue.description",3,"Nombre"
27,22,"CodeListValue.description",3,"Percentatge"
28,23,"CodeListValue.description",3,"Text"
29,24,"CodeListValue.description",3,"URL"
30,25,"CodeListValue.description",3,"INFO"
31,26,"CodeListValue.description",3,"Mapa de fons"
32,27,"CodeListValue.description",3,"Grup de cartografia"
33,28,"CodeListValue.description",3,"Mapa de situació"
34,29,"CodeListValue.description",3,"Informe"
35,30,"CodeListValue.description",3,"Data"
36,31,"CodeListValue.description",3,"Imatge"
37,32,"CodeListValue.description",3,"Nombre"
38,33,"CodeListValue.description",3,"Percentatge"
39,34,"CodeListValue.description",3,"Text"
40,35,"CodeListValue.description",3,"URL"
41,36,"CodeListValue.description",3,"EDITAR"
42,37,"CodeListValue.description",3,"SELECCIONAR"
43,38,"CodeListValue.description",3,"Aplicació"
44,39,"CodeListValue.description",3,"Isolated"
45,40,"CodeListValue.description",3,"Layer"
46,41,"CodeListValue.description",3,"Data"
47,42,"CodeListValue.description",3,"Imatge"
48,43,"CodeListValue.description",3,"ListBox"
49,44,"CodeListValue.description",3,"Nombre"
50,45,"CodeListValue.description",3,"Text"
51,46,"CodeListValue.description",3,"Database edition"
52,47,"CodeListValue.description",3,"Features service edition (WFS)"
53,48,"CodeListValue.description",3,"Query parameter"
54,49,"CodeListValue.description",3,"Template parameter"
55,50,"CodeListValue.description",3,"Cartography Query"
56,51,"CodeListValue.description",3,"SQL Query"
57,52,"CodeListValue.description",3,"Web API Query"
58,53,"CodeListValue.description",3,"Autenticació HTTP bàsica"
59,54,"CodeListValue.description",3,"Cap"
60,55,"CodeListValue.description",3,"WFS"
61,56,"CodeListValue.description",3,"WMS"
62,57,"CodeListValue.description",3,"WMTS"
63,58,"CodeListValue.description",3,"GetFeatureInfo"
64,59,"CodeListValue.description",3,"GetMap"
65,60,"CodeListValue.description",3,"OpenLayers"
66,61,"CodeListValue.description",3,"WMTS"
67,62,"CodeListValue.description",3,"__NULL_VALUE__"
68,63,"CodeListValue.description",3,"array"
69,64,"CodeListValue.description",3,"boolean"
70,65,"CodeListValue.description",3,"number"
71,66,"CodeListValue.description",3,"object"
72,67,"CodeListValue.description",3,"string"
73,68,"CodeListValue.description",3,"Municipi"
74,69,"CodeListValue.description",3,"Regional"
75,70,"CodeListValue.description",3,"Total"
76,71,"CodeListValue.description",3,"Cartografia"
77,72,"CodeListValue.description",3,"Arbre d'edició"
78,73,"CodeListValue.description",3,"Aplicació turística"
79,82,"CodeListValue.description",3,"Llista detallada"
80,83,"CodeListValue.description",3,"Esdeveniments"
81,84,"CodeListValue.description",3,"Categories d'esdeveniments"
82,85,"CodeListValue.description",3,"Ubicacions d'esdeveniments"
83,86,"CodeListValue.description",3,"Galeria"
84,87,"CodeListValue.description",3,"Cerca al mapa"
85,88,"CodeListValue.description",3,"Elements propers"
86,89,"CodeListValue.description",3,"Llista de rutes"
87,90,"CodeListValue.description",3,"Horari"
88,91,"CodeListValue.description",3,"DNI"
89,92,"CodeListValue.description",3,"NIE"
90,93,"CodeListValue.description",3,"Passport"
91,94,"CodeListValue.description",3,"Punt de contacte"
92,95,"CodeListValue.description",3,"Cartografia"
93,96,"CodeListValue.description",3,"Carpeta"
94,97,"CodeListValue.description",3,"Llista"
95,98,"CodeListValue.description",3,"Menú"
96,99,"CodeListValue.description",3,"Tasca"
97,100,"CodeListValue.description",3,"Favorits"
98,101,"CodeListValue.description",3,"Mapa"
99,102,"CodeListValue.description",3,"A prop meu"
100,1,"TerritoryType.name",3,"País"
101,2,"TerritoryType.name",3,"Comunitat Autònoma"
102,3,"TerritoryType.name",3,"Ciutat Autònoma"
103,4,"TerritoryType.name",3,"Diputació"
104,5,"TerritoryType.name",3,"Consell Insular (Balears)"
105,6,"TerritoryType.name",3,"Cabildo Insular (Canàries)"
106,7,"TerritoryType.name",3,"Ajuntament"
107,8,"TerritoryType.name",3,"Comarca"
108,9,"TerritoryType.name",3,"Àrea Metropolitana"
109,10,"TerritoryType.name",3,"Mancomunitat"
110,11,"TerritoryType.name",3,"Agrupació de Municipis"
111,12,"TerritoryType.name",3,"Entitat d'Àmbit Inferior al Municipi"
112,1,"TaskGroup.name",3,"Bàsic"
113,1,"Task.name",3,"Atribució"
114,2,"Task.name",3,"Selector de mapa base"
115,3,"Task.name",3,"Clic"
116,4,"Task.name",3,"Coordenades"
117,5,"Task.name",3,"Carregador de dades"
118,6,"Task.name",3,"Descàrrega"
119,7,"Task.name",3,"Dibuixar, Mesurar i Modificar"
120,8,"Task.name",3,"Informació d'entitat"
121,9,"Task.name",3,"Pantalla completa"
122,10,"Task.name",3,"Geolocalització"
123,11,"Task.name",3,"Catàleg de capes"
124,12,"Task.name",3,"Llegenda"
125,13,"Task.name",3,"Indicador de càrrega"
126,14,"Task.name",3,"Mesurar"
127,15,"Task.name",3,"Informació múltiple d'entitats"
128,16,"Task.name",3,"Barra de navegació"
129,17,"Task.name",3,"Creador de mapes sense connexió"
130,18,"Task.name",3,"Mapa de situació"
131,19,"Task.name",3,"Finestra emergent"
132,20,"Task.name",3,"Imprimir mapa"
133,21,"Task.name",3,"Escala"
134,22,"Task.name",3,"Barra d'escala"
135,23,"Task.name",3,"Selector d'escala"
136,24,"Task.name",3,"Cercar"
137,25,"Task.name",3,"Compartir"
138,26,"Task.name",3,"Vista de carrer"
139,27,"Task.name",3,"Vista 3D"
140,28,"Task.name",3,"Edició WFS"
141,29,"Task.name",3,"Consulta WFS"
142,30,"Task.name",3,"Gestor de capes de treball"
