"TRA_ID","TRA_ELEID","TRA_COLUMN","TRA_LANID","TRA_NAME"
427,1,"Language.name",5,"Anglais"
428,2,"Language.name",5,"Espagnol"
429,3,"Language.name",5,"Catalan"
430,4,"Language.name",5,"Aranais"
431,5,"Language.name",5,"Français"
432,1,"CodeListValue.description",5,"Edition application"
433,2,"CodeListValue.description",5,"Application externe"
434,3,"CodeListValue.description",5,"Application interne"
435,4,"CodeListValue.description",5,"Application touristique"
436,5,"CodeListValue.description",5,"Paramètre d'application mobile"
437,6,"CodeListValue.description",5,"Paramètre de nomenclateur"
438,7,"CodeListValue.description",5,"Modèle d'impression"
439,8,"CodeListValue.description",5,"Ligne"
440,9,"CodeListValue.description",5,"Point"
441,10,"CodeListValue.description",5,"Polygone"
442,11,"CodeListValue.description",5,"Get Legend Graphic"
443,12,"CodeListValue.description",5,"GetCapabilities"
444,13,"CodeListValue.description",5,"Lien statique"
445,14,"CodeListValue.description",5,"Personnalisé"
446,15,"CodeListValue.description",5,"Défini"
447,16,"CodeListValue.description",5,"Alphanumérique"
448,17,"CodeListValue.description",5,"Date"
449,18,"CodeListValue.description",5,"Nombre"
450,19,"CodeListValue.description",5,"Date"
451,20,"CodeListValue.description",5,"Image"
452,21,"CodeListValue.description",5,"Nombre"
453,22,"CodeListValue.description",5,"Pourcentage"
454,23,"CodeListValue.description",5,"Texte"
455,24,"CodeListValue.description",5,"URL"
456,25,"CodeListValue.description",5,"INFO"
457,26,"CodeListValue.description",5,"Carte de fond"
458,27,"CodeListValue.description",5,"Groupe de cartographie"
459,28,"CodeListValue.description",5,"Carte de situation"
460,29,"CodeListValue.description",5,"Rapport"
461,30,"CodeListValue.description",5,"Date"
462,31,"CodeListValue.description",5,"Image"
463,32,"CodeListValue.description",5,"Nombre"
464,33,"CodeListValue.description",5,"Pourcentage"
465,34,"CodeListValue.description",5,"Texte"
466,35,"CodeListValue.description",5,"URL"
467,36,"CodeListValue.description",5,"ÉDITER"
468,37,"CodeListValue.description",5,"SÉLECTIONNER"
469,38,"CodeListValue.description",5,"Application"
470,39,"CodeListValue.description",5,"Isolated"
471,40,"CodeListValue.description",5,"Layer"
472,41,"CodeListValue.description",5,"Date"
473,42,"CodeListValue.description",5,"Image"
474,43,"CodeListValue.description",5,"ListBox"
475,44,"CodeListValue.description",5,"Nombre"
476,45,"CodeListValue.description",5,"Texte"
477,46,"CodeListValue.description",5,"Database edition"
478,47,"CodeListValue.description",5,"Features service edition (WFS)"
479,48,"CodeListValue.description",5,"Query parameter"
480,49,"CodeListValue.description",5,"Template parameter"
481,50,"CodeListValue.description",5,"Cartography Query"
482,51,"CodeListValue.description",5,"SQL Query"
483,52,"CodeListValue.description",5,"Web API Query"
484,53,"CodeListValue.description",5,"Authentification HTTP de base"
485,54,"CodeListValue.description",5,"Aucun"
486,55,"CodeListValue.description",5,"WFS"
487,56,"CodeListValue.description",5,"WMS"
488,57,"CodeListValue.description",5,"WMTS"
489,58,"CodeListValue.description",5,"GetFeatureInfo"
490,59,"CodeListValue.description",5,"GetMap"
491,60,"CodeListValue.description",5,"OpenLayers"
492,61,"CodeListValue.description",5,"WMTS"
493,62,"CodeListValue.description",5,"__NULL_VALUE__"
494,63,"CodeListValue.description",5,"array"
495,64,"CodeListValue.description",5,"boolean"
496,65,"CodeListValue.description",5,"number"
497,66,"CodeListValue.description",5,"object"
498,67,"CodeListValue.description",5,"string"
499,68,"CodeListValue.description",5,"Municipalité"
500,69,"CodeListValue.description",5,"Régional"
501,70,"CodeListValue.description",5,"Total"
502,71,"CodeListValue.description",5,"Cartographie"
503,72,"CodeListValue.description",5,"Arbre d'édition"
504,73,"CodeListValue.description",5,"Application touristique"
505,74,"CodeListValue.description",5,"Cartographie"
506,75,"CodeListValue.description",5,"Liste"
507,76,"CodeListValue.description",5,"Cartographie"
508,77,"CodeListValue.description",5,"Favoris"
509,78,"CodeListValue.description",5,"Carte"
510,79,"CodeListValue.description",5,"Menu"
511,80,"CodeListValue.description",5,"Près de moi"
512,81,"CodeListValue.description",5,"Tâche"
513,82,"CodeListValue.description",5,"Liste détaillée"
514,83,"CodeListValue.description",5,"Événements"
515,84,"CodeListValue.description",5,"Catégories d'événements"
516,85,"CodeListValue.description",5,"Emplacements d'événements"
517,86,"CodeListValue.description",5,"Galerie"
518,87,"CodeListValue.description",5,"Recherche sur carte"
519,88,"CodeListValue.description",5,"Éléments proches"
520,89,"CodeListValue.description",5,"Liste des itinéraires"
521,90,"CodeListValue.description",5,"Horaire"
522,91,"CodeListValue.description",5,"DNI"
523,92,"CodeListValue.description",5,"NIE"
524,93,"CodeListValue.description",5,"Passport"
525,94,"CodeListValue.description",5,"Point de contact"
526,1,"TerritoryType.name",5,"Pays"
527,2,"TerritoryType.name",5,"Communauté autonome"
528,3,"TerritoryType.name",5,"Ville autonome"
529,4,"TerritoryType.name",5,"Conseil provincial"
530,5,"TerritoryType.name",5,"Conseil insulaire (Baléares)"
531,6,"TerritoryType.name",5,"Conseil insulaire (Canaries)"
532,7,"TerritoryType.name",5,"Municipalité"
533,8,"TerritoryType.name",5,"Comarca"
534,9,"TerritoryType.name",5,"Zone métropolitaine"
535,10,"TerritoryType.name",5,"Communauté de communes"
536,11,"TerritoryType.name",5,"Groupement municipal"
