"TRA_ID","TRA_ELEID","TRA_COLUMN","TRA_LANID","TRA_NAME"
581,1,"Language.name",4,"Anglés"
582,2,"Language.name",4,"Espanhòl"
583,3,"Language.name",4,"Catalan"
584,4,"Language.name",4,"Aranés"
585,5,"Language.name",4,"Francés"
586,1,"CodeListValue.description",4,"Edition application"
587,2,"CodeListValue.description",4,"Aplicacion extèrna"
588,3,"CodeListValue.description",4,"Aplicacion intèrna"
589,4,"CodeListValue.description",4,"Aplicacion toristica"
590,5,"CodeListValue.description",4,"Paramètres d'aplicacion mobil"
591,6,"CodeListValue.description",4,"Paramètres de nomenclator"
592,7,"CodeListValue.description",4,"Modèl d'impression"
593,8,"CodeListValue.description",4,"Linha"
594,9,"CodeListValue.description",4,"Punt"
595,10,"CodeListValue.description",4,"Poligòn"
596,11,"CodeListValue.description",4,"Get Legend Graphic"
597,12,"CodeListValue.description",4,"GetCapabilities"
598,13,"CodeListValue.description",4,"Ligam static"
599,14,"CodeListValue.description",4,"Personalizat"
600,15,"CodeListValue.description",4,"Definit"
601,16,"CodeListValue.description",4,"Alfanumeric"
602,17,"CodeListValue.description",4,"Data"
603,18,"CodeListValue.description",4,"Numèro"
604,19,"CodeListValue.description",4,"Data"
605,20,"CodeListValue.description",4,"Imatge"
606,21,"CodeListValue.description",4,"Numèro"
607,22,"CodeListValue.description",4,"Percentatge"
608,23,"CodeListValue.description",4,"Tèxte"
609,24,"CodeListValue.description",4,"URL"
610,25,"CodeListValue.description",4,"INFO"
611,26,"CodeListValue.description",4,"Mapa de fons"
612,27,"CodeListValue.description",4,"Grop de cartografia"
613,28,"CodeListValue.description",4,"Mapa de situacion"
614,29,"CodeListValue.description",4,"Infòrme"
615,30,"CodeListValue.description",4,"Data"
616,31,"CodeListValue.description",4,"Imatge"
617,32,"CodeListValue.description",4,"Numèro"
618,33,"CodeListValue.description",4,"Percentatge"
619,34,"CodeListValue.description",4,"Tèxte"
620,35,"CodeListValue.description",4,"URL"
621,36,"CodeListValue.description",4,"EDITAR"
622,37,"CodeListValue.description",4,"SELECCIONAR"
623,38,"CodeListValue.description",4,"Aplicacion"
624,39,"CodeListValue.description",4,"Isolated"
625,40,"CodeListValue.description",4,"Layer"
626,41,"CodeListValue.description",4,"Data"
627,42,"CodeListValue.description",4,"Imatge"
628,43,"CodeListValue.description",4,"ListBox"
629,44,"CodeListValue.description",4,"Numèro"
630,45,"CodeListValue.description",4,"Tèxte"
631,46,"CodeListValue.description",4,"Database edition"
632,47,"CodeListValue.description",4,"Features service edition (WFS)"
633,48,"CodeListValue.description",4,"Query parameter"
634,49,"CodeListValue.description",4,"Template parameter"
635,50,"CodeListValue.description",4,"Cartography Query"
636,51,"CodeListValue.description",4,"SQL Query"
637,52,"CodeListValue.description",4,"Web API Query"
638,53,"CodeListValue.description",4,"Autenticacion HTTP basica"
639,54,"CodeListValue.description",4,"Cap"
640,55,"CodeListValue.description",4,"WFS"
641,56,"CodeListValue.description",4,"WMS"
642,57,"CodeListValue.description",4,"WMTS"
643,58,"CodeListValue.description",4,"GetFeatureInfo"
644,59,"CodeListValue.description",4,"GetMap"
